season,teams,scoring_type,fold,strategy,feature,coefficient
2021,10,ppr,50,roster_aware,starter_need_late,4.896187029530013
2021,10,ppr,50,roster_aware,QB,0.017848657378694916
2021,10,ppr,50,roster_aware,RB,0.19437194711076808
2021,10,ppr,50,roster_aware,WR,0.3231245181839384
2021,10,ppr,50,roster_aware,TE,-0.09038769269907836
2021,10,ppr,50,roster_aware,K,-0.44495742997549187
2021,10,ppr,50,run_aware,market_rank,5.48359495580505
2021,10,ppr,50,run_aware,recent_position_run,0.8044556908820424
2021,10,ppr,50,run_aware,QB,0.04417642203263132
2021,10,ppr,50,run_aware,RB,-0.17412528824486637
2021,10,ppr,50,run_aware,WR,-0.10566871407775824
2021,10,ppr,50,run_aware,TE,0.1126741160642061
2021,10,ppr,50,run_aware,K,0.1229434642266342
2021,10,ppr,50,next_turn_aware,market_rank,5.439430902201953
2021,10,ppr,50,next_turn_aware,next_turn_demand,0.31210479023659987
2021,10,ppr,50,next_turn_aware,next_turn_competition,0.09615189371755083
2021,10,ppr,50,next_turn_aware,QB,0.014492148682852368
2021,10,ppr,50,next_turn_aware,RB,-0.0661764105058606
2021,10,ppr,50,next_turn_aware,WR,0.05231864844960017
2021,10,ppr,50,next_turn_aware,TE,0.02868806715611915
2021,10,ppr,50,next_turn_aware,K,-0.02932245378258255
2021,10,ppr,50,roster_plus_run,market_rank,5.461046016503899
2021,10,ppr,50,roster_plus_run,starter_need,-1.0685308682707215
2021,10,ppr,50,roster_plus_run,roster_count,1.4084250430051506
2021,10,ppr,50,roster_plus_run,recent_position_run,0.7624892874459694
2021,10,ppr,50,roster_plus_run,starter_need_late,4.7501321260493965
2021,10,ppr,50,roster_plus_run,QB,0.07702292656216583
2021,10,ppr,50,roster_plus_run,RB,0.08998263740756784
2021,10,ppr,50,roster_plus_run,WR,0.16804736728942943
2021,10,ppr,50,roster_plus_run,TE,-0.027514701779028285
2021,10,ppr,50,roster_plus_run,K,-0.30753822948027315
2021,10,ppr,50,roster_plus_next_turn,market_rank,5.424657696234727
2021,10,ppr,50,roster_plus_next_turn,starter_need,-1.1359409960443105
2021,10,ppr,50,roster_plus_next_turn,roster_count,1.5081963268903638
2021,10,ppr,50,roster_plus_next_turn,next_turn_demand,0.07156695319195568
2021,10,ppr,50,roster_plus_next_turn,next_turn_competition,-0.1479122235158585
2021,10,ppr,50,roster_plus_next_turn,starter_need_late,4.8997265640294705
2021,10,ppr,50,roster_plus_next_turn,QB,0.01246223263581773
2021,10,ppr,50,roster_plus_next_turn,RB,0.1927255008998404
2021,10,ppr,50,roster_plus_next_turn,WR,0.3224610437356009
2021,10,ppr,50,roster_plus_next_turn,TE,-0.08700967015857085
2021,10,ppr,50,roster_plus_next_turn,K,-0.4406391071145552
2021,10,ppr,50,opponent_aware,market_rank,5.462098880869538
2021,10,ppr,50,opponent_aware,starter_need,-1.0637962912949024
2021,10,ppr,50,opponent_aware,roster_count,1.4083351251422558
2021,10,ppr,50,opponent_aware,recent_position_run,0.7628316682837114
2021,10,ppr,50,opponent_aware,next_turn_demand,0.030012857550103335
2021,10,ppr,50,opponent_aware,next_turn_competition,-0.12810222887731257
2021,10,ppr,50,opponent_aware,starter_need_late,4.760448185584535
2021,10,ppr,50,opponent_aware,QB,0.07014800498089584
2021,10,ppr,50,opponent_aware,RB,0.08825296112317377
2021,10,ppr,50,opponent_aware,WR,0.16762659772937732
2021,10,ppr,50,opponent_aware,TE,-0.023304353630941178
2021,10,ppr,50,opponent_aware,K,-0.30272321020160714
2021,12,ppr,50,adp_only,market_rank,5.179854463856653
2021,12,ppr,50,position_baseline,market_rank,5.183321617284378
2021,12,ppr,50,position_baseline,QB,-0.07016205872490165
2021,12,ppr,50,position_baseline,RB,0.03435715376855597
2021,12,ppr,50,position_baseline,WR,0.07384451074981968
2021,12,ppr,50,position_baseline,TE,-0.016985993662378126
2021,12,ppr,50,position_baseline,K,-0.021053612130233827
2021,12,ppr,50,roster_aware,market_rank,5.2636545747941135
2021,12,ppr,50,roster_aware,starter_need,-2.333306451748057
2021,12,ppr,50,roster_aware,roster_count,1.8442111949295517
2021,12,ppr,50,roster_aware,starter_need_late,7.9682013045862
2021,12,ppr,50,roster_aware,QB,-0.0229322910885596
2021,12,ppr,50,roster_aware,RB,0.3622252632007184
2021,12,ppr,50,roster_aware,WR,0.43121082864635946
2021,12,ppr,50,roster_aware,TE,-0.11629006693065155
2021,12,ppr,50,roster_aware,K,-0.6542137338308692
2021,12,ppr,50,run_aware,market_rank,5.213506559875809
2021,12,ppr,50,run_aware,recent_position_run,0.8224998576279959
2021,12,ppr,50,run_aware,QB,-0.022812970173493943
2021,12,ppr,50,run_aware,RB,-0.06906734213808705
2021,12,ppr,50,run_aware,WR,-0.09042440039044101
2021,12,ppr,50,run_aware,TE,0.037602408288517505
2021,12,ppr,50,run_aware,K,0.14470230441475518
2021,12,ppr,50,next_turn_aware,market_rank,5.180350931263249
2021,12,ppr,50,next_turn_aware,next_turn_demand,0.0967155978767648
2021,12,ppr,50,next_turn_aware,next_turn_competition,0.029901525844202286
2021,12,ppr,50,next_turn_aware,QB,-0.06099452420674632
2021,12,ppr,50,next_turn_aware,RB,0.03498345727510397
2021,12,ppr,50,next_turn_aware,WR,0.07371237448885239
2021,12,ppr,50,next_turn_aware,TE,-0.025097273227755904
2021,12,ppr,50,next_turn_aware,K,-0.022604034328309215
2021,12,ppr,50,roster_plus_run,market_rank,5.291765041307224
2021,12,ppr,50,roster_plus_run,starter_need,-2.254566246324574
2021,12,ppr,50,roster_plus_run,roster_count,1.755831297793376
